City,Country,Temp,Humidity,Cloudiness,Wind Speed,Lat,Lng
Ancud,CL,53.33,53,0,10.29,-41.87,-73.82
Mānsa,IN,67.35,24,0,4.41,29.98,75.38
Vardø,NO,28.38,86,40,6.93,70.37,31.11
Puerto Ayora,EC,72.57,73,75,18.34,-0.74,-90.35
East London,ZA,60.22,67,7,8.77,-33.02,27.91
Kwang Binh,VN,71.2,90,100,15.39,17.48,106.6
Souillac,MU,75.2,78,20,11.41,-20.52,57.52
Thompson,CA,30.2,68,90,2.24,55.74,-97.86
Bethel,US,65.98,72,40,4.7,41.37,-73.41
Kaitangata,NZ,51.96,58,95,2.57,-46.28,169.85
Punta Arenas,CL,48.11,45,75,16.11,-53.15,-70.92
Hobart,AU,55.02,76,75,1.12,-42.88,147.33
Manaus,BR,88.68,66,40,3.36,-3.1,-60.02
Dikson,RU,22.35,96,94,4.97,73.51,80.55
Amga,RU,19.56,97,100,3.49,60.9,131.96
Ushuaia,AR,44.6,68,75,13.87,-54.8,-68.3
Kaabong,UG,68.04,66,68,7.9,3.48,34.15
Banda Aceh,ID,80.26,74,81,9.69,5.56,95.32
Dingle,PH,76.26,92,96,6.85,11.0,122.67
Ketchikan,US,45.3,87,75,5.82,55.34,-131.65
Longyearbyen,SJ,21.2,79,7,4.54,78.22,15.64
Ribeira Grande,PT,63.81,66,85,25.32,38.52,-28.7
Saint-Philippe,RE,67.73,60,20,8.05,-21.36,55.77
Pandan Niog,PH,82.74,76,100,10.69,6.23,120.56
Makubetsu,JP,46.6,72,0,10.45,45.37,141.82
Atuona,PF,77.88,73,3,17.31,-9.8,-139.03
Butaritari,KI,82.06,77,95,12.15,3.07,172.79
Imbituba,BR,77.0,78,20,4.7,-28.24,-48.67
Kamenka,RU,36.52,82,15,9.6,51.32,42.77
Lebu,CL,51.55,71,0,19.39,-37.62,-73.65
Brae,GB,48.2,93,100,23.04,60.4,-1.35
Baykit,RU,22.15,95,95,1.32,61.67,96.37
Cabra,ES,66.0,76,100,11.01,37.47,-4.44
Norman Wells,CA,21.2,85,75,12.75,65.28,-126.83
Albany,US,61.66,80,100,4.59,42.6,-73.97
Provideniya,RU,42.8,87,90,15.66,64.38,-173.3
Busselton,AU,48.99,93,0,6.85,-33.65,115.33
Myszków,PL,45.43,70,97,8.05,50.58,19.32
